epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.24,1.33502,2.24603,1.42418,0.44138,0.31666,0.29363,0.14853,1.74932,2.75806,1.82655,0.000332788,0.000332788,0.067054
2,374.215,1.3826,1.89703,1.48416,0.55311,0.43818,0.45112,0.25058,1.496,1.98622,1.61612,0.000659527,0.000659527,0.0340474
3,558.186,1.3947,1.86468,1.49484,0.55009,0.43702,0.4582,0.25315,1.46757,1.81814,1.55085,0.000979665,0.000979665,0.00103422
4,672.668,1.37221,1.78616,1.47255,0.60479,0.48793,0.53385,0.30292,1.43929,1.68591,1.52838,0.0009703,0.0009703,0.0009703
5,788.144,1.3437,1.71501,1.4562,0.66061,0.49156,0.55543,0.33074,1.37805,1.63571,1.49312,0.0009604,0.0009604,0.0009604
6,906.975,1.30833,1.62608,1.42807,0.64166,0.54624,0.6005,0.36366,1.31381,1.48534,1.43156,0.0009505,0.0009505,0.0009505
7,1025.75,1.2926,1.58299,1.41511,0.67516,0.54782,0.60854,0.36909,1.32584,1.47163,1.43248,0.0009406,0.0009406,0.0009406
8,1144.61,1.2745,1.52491,1.39865,0.67105,0.56563,0.62746,0.38804,1.28892,1.43528,1.40783,0.0009307,0.0009307,0.0009307
9,1263.71,1.25318,1.49081,1.39139,0.70187,0.56321,0.6436,0.39499,1.30546,1.361,1.41635,0.0009208,0.0009208,0.0009208
10,1383.63,1.24001,1.44766,1.37438,0.70294,0.59683,0.6668,0.42343,1.25668,1.28732,1.386,0.0009109,0.0009109,0.0009109
11,1504.55,1.23232,1.417,1.36606,0.70727,0.61541,0.67622,0.43095,1.2548,1.2461,1.36722,0.000901,0.000901,0.000901
12,1625.41,1.20525,1.37124,1.35007,0.74079,0.59649,0.6865,0.43747,1.24391,1.24629,1.36753,0.0008911,0.0008911,0.0008911
13,1743.2,1.20924,1.38416,1.35207,0.69641,0.61828,0.68841,0.44803,1.21487,1.22164,1.35212,0.0008812,0.0008812,0.0008812
14,1864.35,1.19955,1.34128,1.34552,0.75323,0.61538,0.7024,0.45392,1.2157,1.17939,1.34549,0.0008713,0.0008713,0.0008713
15,1984.85,1.17908,1.30621,1.32722,0.75539,0.64452,0.71609,0.46115,1.20493,1.15064,1.33132,0.0008614,0.0008614,0.0008614
16,2105.84,1.18188,1.29004,1.32679,0.73205,0.62063,0.70937,0.46136,1.19459,1.14785,1.31846,0.0008515,0.0008515,0.0008515
17,2223.76,1.16571,1.26967,1.3199,0.73327,0.66191,0.72829,0.47735,1.18074,1.11482,1.31099,0.0008416,0.0008416,0.0008416
18,2343.33,1.15899,1.25483,1.31569,0.73867,0.64947,0.72058,0.47614,1.18461,1.11922,1.32177,0.0008317,0.0008317,0.0008317
19,2462.29,1.14238,1.23549,1.30767,0.74568,0.66863,0.73643,0.48899,1.1727,1.08811,1.30046,0.0008218,0.0008218,0.0008218
20,2581.46,1.14365,1.2201,1.30458,0.74717,0.67471,0.74242,0.49746,1.15615,1.06007,1.29376,0.0008119,0.0008119,0.0008119
21,2700.69,1.1365,1.19166,1.29424,0.75905,0.66354,0.74222,0.49485,1.1556,1.0492,1.2882,0.000802,0.000802,0.000802
22,2819.45,1.12372,1.18868,1.29237,0.80061,0.65981,0.75894,0.51212,1.15608,1.0377,1.29817,0.0007921,0.0007921,0.0007921
23,2996.83,1.11873,1.17201,1.28778,0.76595,0.70101,0.76594,0.51965,1.13118,0.99771,1.27712,0.0007822,0.0007822,0.0007822
24,3118.2,1.11381,1.15232,1.28391,0.75672,0.68137,0.75008,0.50568,1.13929,1.03043,1.27778,0.0007723,0.0007723,0.0007723
25,3233.6,1.11151,1.14459,1.276,0.79511,0.67039,0.76019,0.51391,1.1269,1.00176,1.27261,0.0007624,0.0007624,0.0007624
26,3352.39,1.10453,1.12379,1.27169,0.77458,0.70362,0.77576,0.53014,1.11613,0.97956,1.25768,0.0007525,0.0007525,0.0007525
27,3468.51,1.09399,1.12653,1.27563,0.78298,0.69615,0.7707,0.52342,1.11991,0.97843,1.2677,0.0007426,0.0007426,0.0007426
28,3584.28,1.08718,1.1007,1.26364,0.78492,0.71574,0.78543,0.53423,1.12632,0.96428,1.2682,0.0007327,0.0007327,0.0007327
29,3703.37,1.07969,1.09858,1.26155,0.79001,0.70229,0.78192,0.53672,1.10401,0.95413,1.25799,0.0007228,0.0007228,0.0007228
30,3822.4,1.07862,1.08812,1.25857,0.80588,0.70623,0.79246,0.5451,1.09881,0.93241,1.24419,0.0007129,0.0007129,0.0007129
31,3941.97,1.06703,1.07022,1.25024,0.7931,0.72071,0.79347,0.5514,1.08887,0.92921,1.24254,0.000703,0.000703,0.000703
32,4061.48,1.07035,1.07142,1.24816,0.78396,0.72563,0.79458,0.55124,1.09679,0.92388,1.24299,0.0006931,0.0006931,0.0006931
