epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.038,1.19683,2.18817,1.40009,0.48833,0.39724,0.39465,0.23897,1.33643,2.25511,1.52895,0.0670322,0.000333008,0.000333008
2,203.918,1.26028,1.94239,1.46584,0.53032,0.40653,0.42228,0.26139,1.33848,2.08694,1.55287,0.0340256,0.000659745,0.000659745
3,294.311,1.27061,1.91515,1.48007,0.568,0.40864,0.43517,0.26916,1.31653,1.91762,1.54447,0.00101237,0.000979882,0.000979882
4,384.118,1.23498,1.83614,1.45492,0.61542,0.47359,0.52678,0.34897,1.21079,1.64843,1.43881,0.0009703,0.0009703,0.0009703
5,473.708,1.20947,1.76873,1.43656,0.59707,0.51317,0.5585,0.37688,1.17277,1.54639,1.41384,0.0009604,0.0009604,0.0009604
6,563.65,1.1827,1.6907,1.42023,0.6202,0.51989,0.5843,0.39921,1.15722,1.49993,1.38702,0.0009505,0.0009505,0.0009505
7,653.683,1.1683,1.64558,1.40597,0.68088,0.53117,0.60747,0.42126,1.12269,1.42531,1.363,0.0009406,0.0009406,0.0009406
8,743.439,1.15301,1.60081,1.39417,0.70252,0.54667,0.62703,0.43703,1.11502,1.37235,1.35317,0.0009307,0.0009307,0.0009307
9,833.208,1.13243,1.55698,1.37881,0.66311,0.58409,0.6436,0.45531,1.07299,1.29005,1.30961,0.0009208,0.0009208,0.0009208
10,922.793,1.12142,1.5184,1.36965,0.68248,0.58726,0.65369,0.46278,1.06622,1.26885,1.31684,0.0009109,0.0009109,0.0009109
11,1012.54,1.10834,1.48312,1.35793,0.76883,0.55911,0.66665,0.47802,1.06156,1.25212,1.31189,0.000901,0.000901,0.000901
12,1102.34,1.1023,1.46914,1.35856,0.75766,0.60954,0.68895,0.49591,1.03308,1.20108,1.28532,0.0008911,0.0008911,0.0008911
1,84.4203,1.03246,1.67977,1.25226,0.43253,0.27418,0.26228,0.14189,1.53839,3.02061,1.84501,0.0670343,0.000332987,0.000332987
2,168.231,0.90509,1.10109,1.17532,0.50303,0.33589,0.34292,0.19681,1.49302,2.25208,1.77342,0.0340277,0.000659724,0.000659724
3,251.514,0.84113,0.98115,1.14487,0.48775,0.3489,0.3507,0.19883,1.51925,2.10952,1.76465,0.00101447,0.000979861,0.000979861
1,75.2581,1.06209,1.99701,1.26679,0.57037,0.36579,0.40072,0.23606,1.29903,2.30045,1.55989,0.0671369,0.00033195,0.00033195
2,147.816,1.04834,1.33662,1.26737,0.32769,0.3352,0.27623,0.15144,1.53958,2.68315,1.74009,0.0341303,0.000658697,0.000658697
3,220.909,1.06883,1.29997,1.27747,0.39842,0.25687,0.23915,0.12756,1.59082,2.74416,1.85606,0.00111716,0.000978844,0.000978844
4,293.392,1.0249,1.2079,1.25365,0.4754,0.35895,0.33886,0.21067,1.54519,2.37343,1.76769,0.0009703,0.0009703,0.0009703
5,366.01,0.9619,1.09251,1.21509,0.5213,0.366,0.39305,0.24117,1.39135,2.01762,1.75692,0.0009604,0.0009604,0.0009604
6,438.748,0.91163,0.99811,1.18261,0.53448,0.38927,0.41037,0.25446,1.35269,2.11616,1.60066,0.0009505,0.0009505,0.0009505
7,511.73,0.8748,0.9384,1.15706,0.56434,0.42741,0.45696,0.28542,1.33005,2.02076,1.60108,0.0009406,0.0009406,0.0009406
8,584.392,0.8462,0.8974,1.14124,0.56778,0.40723,0.42678,0.26417,1.41522,1.92478,1.74392,0.0009307,0.0009307,0.0009307
9,656.973,0.81666,0.85958,1.12553,0.56334,0.47491,0.49236,0.30941,1.32386,1.7465,1.57752,0.0009208,0.0009208,0.0009208
10,729.716,0.80598,0.83114,1.11736,0.62995,0.44281,0.49885,0.31249,1.30163,1.59779,1.56617,0.0009109,0.0009109,0.0009109
11,802.533,0.77439,0.79706,1.10252,0.58836,0.4847,0.51516,0.33541,1.32403,1.65289,1.56018,0.000901,0.000901,0.000901
12,875.305,0.75644,0.7723,1.09111,0.63723,0.4442,0.5069,0.32738,1.30503,1.63669,1.6275,0.0008911,0.0008911,0.0008911
13,947.704,0.74574,0.75278,1.08138,0.60675,0.47734,0.5261,0.34571,1.29113,1.70632,1.59548,0.0008812,0.0008812,0.0008812
14,1020.3,0.72842,0.73663,1.07418,0.61007,0.50347,0.54992,0.36594,1.24512,1.58071,1.50365,0.0008713,0.0008713,0.0008713
15,1092.89,0.71593,0.71844,1.07169,0.6381,0.50123,0.5451,0.3655,1.23081,1.57945,1.48493,0.0008614,0.0008614,0.0008614
16,1165.5,0.7058,0.70776,1.06238,0.62185,0.48186,0.53227,0.35331,1.25274,1.54489,1.53598,0.0008515,0.0008515,0.0008515
17,1238.14,0.69926,0.69713,1.05877,0.62638,0.51251,0.54876,0.36651,1.19424,1.54048,1.45102,0.0008416,0.0008416,0.0008416
18,1310.69,0.68584,0.68651,1.05185,0.62532,0.50683,0.55408,0.36719,1.27629,1.43652,1.52335,0.0008317,0.0008317,0.0008317
19,1383.22,0.67666,0.67028,1.04599,0.66774,0.49338,0.56663,0.38223,1.20337,1.47086,1.46168,0.0008218,0.0008218,0.0008218
20,1456.02,0.66817,0.66385,1.04235,0.6416,0.52661,0.57662,0.39009,1.26806,1.35546,1.52079,0.0008119,0.0008119,0.0008119
21,1528.55,0.66476,0.65875,1.04161,0.6792,0.49058,0.56948,0.38496,1.22017,1.42754,1.5047,0.000802,0.000802,0.000802
22,1601.27,0.64966,0.64184,1.03521,0.66917,0.51438,0.56927,0.38649,1.16699,1.48584,1.4922,0.0007921,0.0007921,0.0007921
23,1673.91,0.64581,0.63411,1.02996,0.66499,0.52541,0.58723,0.39695,1.26084,1.39187,1.52283,0.0007822,0.0007822,0.0007822
24,1746.75,0.64,0.63078,1.0307,0.64148,0.54095,0.59192,0.40251,1.23046,1.44565,1.52375,0.0007723,0.0007723,0.0007723
25,1819.61,0.63364,0.6222,1.02732,0.69586,0.51305,0.59123,0.40516,1.27441,1.31838,1.58056,0.0007624,0.0007624,0.0007624
26,1892.4,0.62665,0.61352,1.02232,0.65026,0.54466,0.59615,0.40842,1.2064,1.30331,1.46043,0.0007525,0.0007525,0.0007525
27,1965.17,0.61835,0.60558,1.02106,0.69784,0.52819,0.60692,0.41519,1.16612,1.32526,1.44341,0.0007426,0.0007426,0.0007426
28,2037.93,0.61576,0.60332,1.01712,0.65355,0.55079,0.5971,0.40847,1.17345,1.40573,1.46939,0.0007327,0.0007327,0.0007327
29,2110.47,0.61125,0.59934,1.0177,0.6631,0.54614,0.60271,0.4117,1.21007,1.26589,1.47754,0.0007228,0.0007228,0.0007228
