epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1784.26,1.48565,2.23729,1.48688,0.29288,0.17042,0.12915,0.0745,1.65724,2.64627,1.6057,0.0700162,0.00333153,0.00333153
2,2800.46,1.46509,2.13753,1.48115,0.37155,0.23128,0.21557,0.13317,1.47903,2.09202,1.48608,0.0400146,0.00666324,0.00666324
3,3957.81,1.40955,1.98693,1.4367,0.43467,0.29609,0.29212,0.18732,1.36912,1.81032,1.40664,0.0100065,0.00998843,0.00998843
4,4893.83,1.35312,1.83939,1.39019,0.50269,0.38323,0.39275,0.2634,1.25626,1.49919,1.3079,0.00997803,0.00997803,0.00997803
5,5674.45,1.30029,1.71431,1.35063,0.5396,0.42136,0.44219,0.30196,1.20137,1.37441,1.25975,0.00996097,0.00996097,0.00996097
6,6399.84,1.26751,1.6317,1.32352,0.56726,0.44351,0.47455,0.32857,1.16246,1.30563,1.23041,0.00993906,0.00993906,0.00993906
7,7185.23,1.24156,1.57027,1.30345,0.57924,0.46169,0.4931,0.34125,1.15286,1.26895,1.21878,0.00991232,0.00991232,0.00991232
8,7926.25,1.22453,1.52792,1.29008,0.57464,0.46891,0.49221,0.32953,1.1996,1.32657,1.22465,0.00988079,0.00988079,0.00988079
9,8625.41,1.21099,1.491,1.27862,0.5487,0.4776,0.48054,0.31479,1.22708,1.35034,1.22732,0.00984449,0.00984449,0.00984449
10,9447.75,1.19834,1.45782,1.26803,0.50791,0.477,0.45139,0.28801,1.27228,1.4022,1.24144,0.00980345,0.00980345,0.00980345
11,10147.2,1.18636,1.43366,1.25972,0.5002,0.47872,0.44606,0.28232,1.28576,1.41989,1.24533,0.00975773,0.00975773,0.00975773
12,10840.8,1.17794,1.41131,1.25346,0.44716,0.47024,0.38033,0.21944,1.37234,1.51673,1.28598,0.00970736,0.00970736,0.00970736
13,11534.7,1.17098,1.38994,1.24628,0.42041,0.46209,0.35239,0.19798,1.41239,1.54956,1.31384,0.00965239,0.00965239,0.00965239
14,12228,1.16253,1.37229,1.24053,0.372,0.45603,0.30955,0.17341,1.44438,1.60265,1.35126,0.00959289,0.00959289,0.00959289
15,12919.7,1.15681,1.35682,1.23612,0.35209,0.45359,0.29025,0.16155,1.45954,1.65579,1.36379,0.00952889,0.00952889,0.00952889
16,13613.6,1.15106,1.34397,1.23218,0.33652,0.43656,0.26542,0.14736,1.48558,1.68649,1.40071,0.00946048,0.00946048,0.00946048
17,14306.4,1.1462,1.32721,1.22707,0.3132,0.4233,0.24347,0.13668,1.52857,1.71036,1.44435,0.00938772,0.00938772,0.00938772
18,14999,1.14094,1.31777,1.22394,0.30451,0.41229,0.23222,0.13255,1.55219,1.7167,1.49595,0.00931067,0.00931067,0.00931067
19,15687.4,1.13638,1.30556,1.22045,0.30373,0.40971,0.22952,0.13068,1.56613,1.71473,1.51723,0.00922942,0.00922942,0.00922942
20,16378,1.13323,1.2986,1.21838,0.30461,0.41082,0.23098,0.13103,1.56571,1.71291,1.5202,0.00914405,0.00914405,0.00914405
21,17067.8,1.12736,1.28693,1.21393,0.29596,0.41173,0.22662,0.12884,1.57507,1.70911,1.53271,0.00905463,0.00905463,0.00905463
22,17832.9,1.12761,1.2784,1.2129,0.29901,0.4127,0.22789,0.12956,1.57432,1.69689,1.53289,0.00896127,0.00896127,0.00896127
23,18527.1,1.12168,1.26825,1.20949,0.30313,0.41313,0.22865,0.12967,1.575,1.68822,1.53297,0.00886404,0.00886404,0.00886404
24,19216,1.11581,1.26276,1.20646,0.30106,0.41666,0.22838,0.12934,1.57512,1.68184,1.5337,0.00876305,0.00876305,0.00876305
25,20031.3,1.11727,1.256,1.20554,0.29736,0.42076,0.22842,0.12886,1.57893,1.66939,1.54073,0.00865839,0.00865839,0.00865839
26,20721,1.11271,1.24491,1.20222,0.30033,0.41388,0.22592,0.12677,1.58509,1.68184,1.55556,0.00855018,0.00855018,0.00855018
27,21412.6,1.10993,1.24094,1.20098,0.3044,0.41256,0.22706,0.12798,1.59182,1.67709,1.5648,0.00843851,0.00843851,0.00843851
28,22230.8,1.10627,1.23155,1.19766,0.30339,0.41453,0.2262,0.12747,1.58991,1.67512,1.56397,0.00832349,0.00832349,0.00832349
29,22922.1,1.10427,1.22638,1.19585,0.29463,0.41735,0.2242,0.12621,1.59125,1.67704,1.5653,0.00820525,0.00820525,0.00820525
30,23613.3,1.10109,1.21885,1.19308,0.29929,0.41431,0.22589,0.12767,1.5901,1.67957,1.56664,0.00808389,0.00808389,0.00808389
31,24420.1,1.09836,1.212,1.19269,0.29797,0.40954,0.2252,0.12769,1.58973,1.68647,1.56846,0.00795954,0.00795954,0.00795954
32,25111.1,1.09604,1.2052,1.19054,0.30135,0.41155,0.22578,0.12796,1.59201,1.68622,1.57002,0.00783231,0.00783231,0.00783231
33,25801.3,1.09263,1.19927,1.18763,0.28513,0.39738,0.218,0.12341,1.59139,1.70712,1.56839,0.00770234,0.00770234,0.00770234
34,26608.7,1.08915,1.19218,1.18474,0.28638,0.39472,0.21528,0.1219,1.59186,1.71749,1.56836,0.00756976,0.00756976,0.00756976
35,27299.5,1.08856,1.18741,1.18477,0.28921,0.38257,0.21276,0.12062,1.60026,1.74336,1.57681,0.00743468,0.00743468,0.00743468
36,27988.5,1.08387,1.17743,1.18177,0.28052,0.38012,0.21158,0.12035,1.59881,1.74042,1.57583,0.00729725,0.00729725,0.00729725
37,28775.1,1.08253,1.17485,1.18074,0.2801,0.3796,0.20943,0.1189,1.59858,1.73985,1.57482,0.00715761,0.00715761,0.00715761
38,29462.6,1.07941,1.16879,1.17987,0.27734,0.37151,0.20491,0.11681,1.6024,1.7766,1.58086,0.00701588,0.00701588,0.00701588
39,30151.9,1.07849,1.16487,1.17729,0.27805,0.35937,0.20272,0.11574,1.61505,1.79499,1.59676,0.00687222,0.00687222,0.00687222
40,30980.5,1.07499,1.16037,1.17528,0.27355,0.34628,0.19949,0.11491,1.6186,1.82998,1.60083,0.00672675,0.00672675,0.00672675
41,31671,1.07334,1.15389,1.17432,0.27241,0.32319,0.1859,0.10794,1.63089,1.94879,1.61797,0.00657963,0.00657963,0.00657963
42,32362.8,1.07102,1.14823,1.17195,0.27692,0.30981,0.18293,0.10664,1.6365,1.99095,1.62324,0.00643101,0.00643101,0.00643101
43,33161,1.06825,1.1435,1.17045,0.28462,0.30261,0.17988,0.10506,1.64113,2.04117,1.62904,0.00628101,0.00628101,0.00628101
44,33851.4,1.06778,1.13867,1.17021,0.30325,0.28124,0.17291,0.10248,1.6472,2.14978,1.63769,0.00612981,0.00612981,0.00612981
45,34540.9,1.06286,1.13183,1.16768,0.31042,0.27607,0.17435,0.10337,1.64896,2.16726,1.6392,0.00597754,0.00597754,0.00597754
46,35364,1.06339,1.12972,1.16694,0.30692,0.26657,0.17256,0.10325,1.65293,2.2076,1.64267,0.00582435,0.00582435,0.00582435
47,36055,1.06187,1.12282,1.16566,0.30261,0.25275,0.16573,0.09942,1.65512,2.23814,1.64645,0.0056704,0.0056704,0.0056704
48,36746.7,1.05972,1.12008,1.16401,0.31087,0.2427,0.16181,0.09717,1.65569,2.26962,1.65008,0.00551584,0.00551584,0.00551584
49,37547.7,1.05638,1.11422,1.16192,0.32447,0.22778,0.1556,0.0941,1.6589,2.36978,1.65853,0.00536081,0.00536081,0.00536081
50,38237.3,1.05353,1.11101,1.16152,0.32645,0.21952,0.15286,0.09292,1.65992,2.42719,1.66293,0.00520548,0.00520548,0.00520548
51,38929.1,1.05328,1.1065,1.16007,0.32995,0.21601,0.15312,0.09319,1.65961,2.44747,1.66338,0.00505,0.00505,0.00505
52,39720.3,1.05031,1.0994,1.15778,0.35371,0.2146,0.15242,0.09293,1.66373,2.4342,1.66672,0.00489452,0.00489452,0.00489452
53,40410,1.0486,1.09547,1.15689,0.35399,0.20568,0.14822,0.09078,1.66697,2.47555,1.67198,0.00473919,0.00473919,0.00473919
54,41100.5,1.04461,1.09024,1.15445,0.338,0.20362,0.14745,0.09063,1.66788,2.48826,1.67499,0.00458416,0.00458416,0.00458416
55,41887.4,1.04325,1.08617,1.154,0.35362,0.19607,0.14616,0.09043,1.67088,2.53283,1.67928,0.0044296,0.0044296,0.0044296
56,42577.4,1.0432,1.08186,1.15311,0.35819,0.19316,0.14588,0.09038,1.67192,2.54988,1.67983,0.00427565,0.00427565,0.00427565
57,43269,1.0392,1.07887,1.1521,0.36477,0.18628,0.14423,0.08971,1.67626,2.57605,1.68254,0.00412246,0.00412246,0.00412246
58,44095.9,1.03731,1.07408,1.15016,0.38345,0.1849,0.14413,0.08954,1.67712,2.58217,1.68257,0.00397019,0.00397019,0.00397019
59,44792,1.03583,1.0693,1.14962,0.39048,0.18219,0.14488,0.09008,1.67761,2.59067,1.68296,0.00381899,0.00381899,0.00381899
60,45481.5,1.03472,1.06609,1.1483,0.40097,0.1802,0.14506,0.09068,1.68227,2.62368,1.68768,0.00366899,0.00366899,0.00366899
61,46275.2,1.03338,1.06229,1.14879,0.40479,0.17619,0.14284,0.08949,1.68545,2.65284,1.68963,0.00352037,0.00352037,0.00352037
62,46965.9,1.02998,1.05673,1.14502,0.40405,0.17499,0.14244,0.08908,1.6866,2.65867,1.69081,0.00337325,0.00337325,0.00337325
63,47656,1.02954,1.05292,1.1451,0.393,0.17356,0.14189,0.08883,1.68748,2.66906,1.69061,0.00322778,0.00322778,0.00322778
64,48501.3,1.02692,1.04954,1.14374,0.40211,0.17259,0.14163,0.08889,1.68839,2.68015,1.69236,0.00308412,0.00308412,0.00308412
65,49193.4,1.02391,1.04439,1.14193,0.40151,0.17271,0.14081,0.0883,1.68887,2.6867,1.69351,0.00294239,0.00294239,0.00294239
66,49884.4,1.02184,1.03972,1.14223,0.39634,0.16669,0.14054,0.08876,1.69046,2.71187,1.6956,0.00280275,0.00280275,0.00280275
67,50682.7,1.02146,1.03652,1.14019,0.40961,0.1651,0.14017,0.08838,1.6915,2.72037,1.69659,0.00266532,0.00266532,0.00266532
68,51372.9,1.02112,1.03154,1.13992,0.39657,0.16335,0.14041,0.08858,1.69128,2.72488,1.69716,0.00253024,0.00253024,0.00253024
69,52063.2,1.01835,1.02931,1.13811,0.41173,0.16229,0.1392,0.08791,1.69146,2.73776,1.69828,0.00239766,0.00239766,0.00239766
70,52872.8,1.01678,1.02499,1.13671,0.40318,0.16196,0.13951,0.08816,1.69059,2.74471,1.69827,0.00226769,0.00226769,0.00226769
71,53562.1,1.01494,1.02298,1.1361,0.42122,0.16154,0.13921,0.08782,1.68941,2.7552,1.69754,0.00214046,0.00214046,0.00214046
72,54252.7,1.0123,1.01667,1.13326,0.40933,0.15896,0.13827,0.0874,1.6904,2.76844,1.698,0.00201611,0.00201611,0.00201611
73,55063.1,1.01134,1.01525,1.13384,0.39603,0.15912,0.13794,0.08713,1.69179,2.77346,1.699,0.00189475,0.00189475,0.00189475
74,55753.1,1.00898,1.00983,1.13246,0.39585,0.15771,0.13768,0.08697,1.69188,2.78511,1.69846,0.00177651,0.00177651,0.00177651
75,56444.1,1.00824,1.00867,1.1319,0.40107,0.1572,0.13768,0.08683,1.69328,2.79341,1.69945,0.00166149,0.00166149,0.00166149
76,57208.4,1.00771,1.00537,1.13089,0.40278,0.15704,0.13712,0.08657,1.69506,2.79929,1.70096,0.00154982,0.00154982,0.00154982
77,57899.9,1.00503,1.00084,1.12866,0.3964,0.15518,0.13665,0.08637,1.69667,2.81027,1.70236,0.00144161,0.00144161,0.00144161
78,58590.3,1.00341,0.99893,1.12798,0.39417,0.15492,0.13617,0.0861,1.69833,2.81859,1.70422,0.00133695,0.00133695,0.00133695
79,59378.1,1.00259,0.99614,1.12758,0.39554,0.15478,0.13601,0.08596,1.69859,2.8244,1.70484,0.00123596,0.00123596,0.00123596
80,60068.6,1.00187,0.99273,1.12674,0.41251,0.15371,0.136,0.08616,1.69962,2.83366,1.70615,0.00113873,0.00113873,0.00113873
81,60757.8,1.00124,0.99043,1.12635,0.40864,0.15413,0.13624,0.08633,1.70122,2.83994,1.70741,0.00104537,0.00104537,0.00104537
82,61558.5,0.99735,0.98554,1.12505,0.41261,0.15411,0.13619,0.08645,1.70329,2.84849,1.70948,0.000955951,0.000955951,0.000955951
83,62249.3,0.9986,0.9868,1.12478,0.41091,0.15218,0.13521,0.08592,1.70389,2.85477,1.70982,0.000870577,0.000870577,0.000870577
84,62939.3,0.99577,0.98187,1.12384,0.40967,0.15047,0.13501,0.08578,1.70521,2.85967,1.71073,0.000789327,0.000789327,0.000789327
85,63736.4,0.99562,0.98113,1.12308,0.40276,0.14989,0.13436,0.0854,1.70589,2.86369,1.71078,0.000712282,0.000712282,0.000712282
