epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1909.98,1.18555,1.38774,1.23685,0.44569,0.16329,0.16095,0.10164,1.52293,2.68817,1.46585,0.000333153,0.000333153,0.0670178
2,3782.05,1.31057,1.71031,1.3338,0.47251,0.27207,0.27182,0.17481,1.3835,2.02535,1.36449,0.000659888,0.000659888,0.0340112
3,5371.15,1.30085,1.68875,1.32832,0.51338,0.37106,0.37645,0.25279,1.2599,1.61617,1.2797,0.000980023,0.000980023,0.000998051
4,6889.97,1.26078,1.58683,1.29984,0.5748,0.43249,0.45939,0.31462,1.18844,1.36698,1.22991,0.0009703,0.0009703,0.0009703
5,8400.2,1.22379,1.4948,1.27156,0.6086,0.46765,0.50432,0.35249,1.13703,1.24597,1.18957,0.0009604,0.0009604,0.0009604
6,9914.66,1.19987,1.43661,1.25317,0.63287,0.48577,0.5271,0.37089,1.11082,1.18769,1.16767,0.0009505,0.0009505,0.0009505
7,11387.3,1.1788,1.38939,1.2385,0.64701,0.50364,0.54879,0.39015,1.08979,1.14729,1.15277,0.0009406,0.0009406,0.0009406
8,12875.7,1.16496,1.35336,1.228,0.64646,0.51227,0.55603,0.39654,1.07719,1.12194,1.14303,0.0009307,0.0009307,0.0009307
9,14404.6,1.15252,1.32052,1.21831,0.65203,0.51971,0.5636,0.40341,1.06864,1.1021,1.13707,0.0009208,0.0009208,0.0009208
10,15919.2,1.14091,1.29571,1.21037,0.65994,0.52298,0.56854,0.40703,1.06406,1.09244,1.13299,0.0009109,0.0009109,0.0009109
11,17433.4,1.13271,1.27688,1.20564,0.67182,0.52179,0.57216,0.4106,1.06019,1.0835,1.12969,0.000901,0.000901,0.000901
12,18948.7,1.12344,1.25708,1.19894,0.67399,0.52179,0.57463,0.41281,1.05753,1.07742,1.12779,0.0008911,0.0008911,0.0008911
13,20460.6,1.1173,1.24206,1.19407,0.66563,0.52789,0.57578,0.41439,1.05556,1.07409,1.1255,0.0008812,0.0008812,0.0008812
14,21971.2,1.11045,1.2276,1.18955,0.663,0.53246,0.57797,0.41622,1.05254,1.07109,1.12325,0.0008713,0.0008713,0.0008713
15,23476.7,1.10722,1.21409,1.18731,0.66617,0.53517,0.58104,0.41872,1.05053,1.06951,1.12139,0.0008614,0.0008614,0.0008614
16,25003.6,1.10025,1.19938,1.18176,0.67248,0.5341,0.5829,0.42065,1.04763,1.06634,1.11914,0.0008515,0.0008515,0.0008515
17,26536.2,1.09625,1.19109,1.17951,0.67471,0.53461,0.58443,0.42249,1.04536,1.06338,1.11735,0.0008416,0.0008416,0.0008416
18,28135,1.09159,1.17747,1.17618,0.6755,0.53601,0.58725,0.42505,1.04262,1.06019,1.1154,0.0008317,0.0008317,0.0008317
19,29702.1,1.08927,1.16919,1.17298,0.67374,0.5394,0.5895,0.42714,1.04057,1.05657,1.11351,0.0008218,0.0008218,0.0008218
20,31164.7,1.08571,1.16152,1.1709,0.6742,0.54071,0.59113,0.42876,1.03835,1.05308,1.11204,0.0008119,0.0008119,0.0008119
21,32741.1,1.08048,1.1518,1.1673,0.67495,0.54289,0.59344,0.43043,1.03651,1.04894,1.11053,0.000802,0.000802,0.000802
22,34197.3,1.07573,1.14322,1.1657,0.67646,0.54439,0.59488,0.43163,1.0349,1.04472,1.10878,0.0007921,0.0007921,0.0007921
23,35711.5,1.07336,1.13817,1.16306,0.68139,0.54579,0.5965,0.43263,1.03306,1.03969,1.10693,0.0007822,0.0007822,0.0007822
