epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.619,1.04996,1.61253,1.29917,0.41466,0.30951,0.29341,0.18176,1.30604,2.32624,1.57847,0.0671369,0.00033195,0.00033195
2,208.737,1.21739,1.69139,1.4351,0.43873,0.34209,0.30599,0.16365,1.47463,2.39716,1.76645,0.0341363,0.000664634,0.000664634
3,297.324,1.27619,1.81603,1.48206,0.38854,0.3234,0.27503,0.15115,1.54183,2.48175,1.79968,0.00113303,0.000994719,0.000994719
4,386.118,1.24903,1.74092,1.46759,0.49784,0.35648,0.36038,0.21701,1.38653,2.06194,1.58599,0.000991232,0.000991232,0.000991232
5,474.992,1.1965,1.61335,1.42621,0.58923,0.45486,0.48159,0.31044,1.23668,1.81043,1.48228,0.000984449,0.000984449,0.000984449
6,563.632,1.15257,1.51604,1.39162,0.51699,0.41487,0.44541,0.28568,1.21705,1.80566,1.47055,0.000975773,0.000975773,0.000975773
7,652.195,1.12045,1.4361,1.36667,0.65882,0.48988,0.56127,0.38392,1.11286,1.5211,1.37531,0.000965239,0.000965239,0.000965239
8,741.059,1.10079,1.39834,1.3553,0.65102,0.55863,0.60784,0.42398,1.09085,1.30297,1.3717,0.000952889,0.000952889,0.000952889
9,829.86,1.08347,1.34095,1.3384,0.70781,0.56134,0.63253,0.4433,1.08437,1.21568,1.36128,0.000938772,0.000938772,0.000938772
10,918.603,1.06224,1.3107,1.32394,0.70281,0.57372,0.63784,0.44655,1.03177,1.15871,1.29164,0.000922942,0.000922942,0.000922942
11,1006.95,1.04874,1.26553,1.31392,0.72596,0.58656,0.65517,0.46025,1.0295,1.34494,1.2981,0.000905463,0.000905463,0.000905463
12,1095.71,1.03254,1.23297,1.29673,0.70822,0.59557,0.67155,0.48373,0.99865,1.24695,1.26821,0.000886404,0.000886404,0.000886404
13,1184.16,1.02139,1.21078,1.28856,0.70724,0.56722,0.63608,0.45437,0.99254,1.15944,1.26994,0.000865839,0.000865839,0.000865839
14,1272.21,0.9993,1.16876,1.27389,0.72469,0.59889,0.6752,0.49137,0.95636,1.06826,1.23669,0.000843851,0.000843851,0.000843851
15,1360.55,0.99521,1.14411,1.26857,0.75043,0.60681,0.68561,0.50614,0.98501,1.04121,1.26533,0.000820525,0.000820525,0.000820525
16,1449.13,0.9807,1.11766,1.25966,0.7091,0.61938,0.68932,0.50497,0.95664,1.04565,1.24417,0.000795954,0.000795954,0.000795954
17,1537.53,0.97795,1.09893,1.25486,0.74202,0.61899,0.69135,0.5147,0.92094,1.00781,1.20376,0.000770234,0.000770234,0.000770234
18,1626.06,0.95792,1.07105,1.2456,0.77265,0.61894,0.71178,0.53213,0.92566,0.95472,1.20925,0.000743468,0.000743468,0.000743468
19,1714.63,0.95063,1.04922,1.23225,0.75284,0.65733,0.72802,0.5421,0.89856,0.92647,1.18207,0.000715761,0.000715761,0.000715761
20,1803.33,0.94171,1.02732,1.23031,0.76885,0.66218,0.73902,0.55604,0.88923,0.98371,1.18215,0.000687222,0.000687222,0.000687222
21,1892.08,0.93574,1.00907,1.22288,0.75711,0.63448,0.72127,0.54332,0.89611,0.92667,1.18282,0.000657963,0.000657963,0.000657963
22,1980.34,0.91823,0.9928,1.21468,0.77014,0.65902,0.74367,0.56278,0.88919,0.8883,1.17963,0.000628101,0.000628101,0.000628101
23,2068.77,0.90984,0.96591,1.20747,0.78459,0.66204,0.74904,0.56896,0.88486,0.86911,1.16724,0.000597754,0.000597754,0.000597754
24,2157.16,0.90746,0.95162,1.20468,0.79099,0.67084,0.7513,0.56868,0.88694,0.86436,1.17234,0.00056704,0.00056704,0.00056704
25,2245.08,0.89212,0.93086,1.19432,0.7876,0.68755,0.76474,0.57919,0.86865,0.83732,1.15228,0.000536081,0.000536081,0.000536081
26,2333.58,0.88919,0.91259,1.18848,0.80096,0.69243,0.77464,0.58805,0.87504,0.81501,1.15833,0.000505,0.000505,0.000505
27,2421.96,0.88013,0.90052,1.18293,0.79905,0.68272,0.76666,0.58644,0.86134,0.83052,1.14332,0.000473919,0.000473919,0.000473919
