epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.948,1.24227,1.98863,1.44858,0.21548,0.16054,0.0846,0.04142,1.76494,5.34959,2.13442,0.0810788,0.000995851,0.000995851
2,366.578,1.43062,2.2072,1.62311,0.20562,0.1925,0.09517,0.04752,1.72489,4.65526,2.19018,0.0620769,0.0019939,0.0019939
3,458.755,1.42757,2.18884,1.62081,0.2754,0.14602,0.11677,0.06173,1.86122,5.07321,2.13414,0.0430671,0.00298416,0.00298416
4,548.802,1.40475,2.13414,1.60718,0.25015,0.2571,0.18645,0.09796,1.58165,3.30209,1.85307,0.0240438,0.00396082,0.00396082
5,638.343,1.37274,2.06279,1.5807,0.43138,0.33087,0.28921,0.16568,1.46704,2.29897,1.76817,0.00500115,0.00491816,0.00491816
6,727.693,1.32414,1.9301,1.53362,0.44597,0.37748,0.36437,0.2198,1.4996,2.12745,1.79669,0.00487886,0.00487886,0.00487886
7,817.181,1.28533,1.83588,1.50425,0.49521,0.43558,0.42408,0.25634,1.33847,1.97254,1.59105,0.0048262,0.0048262,0.0048262
8,906.748,1.24965,1.75244,1.47557,0.50784,0.44379,0.45319,0.28518,1.28828,1.89111,1.5397,0.00476445,0.00476445,0.00476445
9,996.229,1.22547,1.68257,1.45336,0.5513,0.46628,0.49723,0.3249,1.22851,1.6292,1.48374,0.00469386,0.00469386,0.00469386
10,1085.59,1.20041,1.64323,1.43376,0.54984,0.44983,0.47164,0.29558,1.22417,1.59184,1.498,0.00461471,0.00461471,0.00461471
11,1174.79,1.18581,1.59631,1.42526,0.60028,0.47275,0.52281,0.34554,1.1687,1.6028,1.44375,0.00452732,0.00452732,0.00452732
12,1264.12,1.15754,1.53453,1.39859,0.6208,0.49713,0.55409,0.37708,1.10958,1.42653,1.38909,0.00443202,0.00443202,0.00443202
13,1353.4,1.14185,1.50973,1.38722,0.62562,0.52214,0.56521,0.38227,1.12425,1.48624,1.39203,0.0043292,0.0043292,0.0043292
