epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.274,1.51619,2.62269,1.68288,0.00891,0.16424,0.00962,0.00301,2.48957,23.7615,3.40152,0.0701245,0.0033195,0.0033195
2,192.921,1.60484,2.6657,1.77866,0.04262,0.10761,0.02296,0.01001,2.31757,7.1022,2.92946,0.040118,0.00664634,0.00664634
3,283.611,1.55096,2.50539,1.72808,0.17981,0.23729,0.14076,0.07142,1.80809,4.251,2.10737,0.0100855,0.00994719,0.00994719
4,373.614,1.46399,2.31091,1.66404,0.22282,0.26882,0.1753,0.08704,1.62436,2.93054,1.90146,0.00991232,0.00991232,0.00991232
5,463.109,1.39182,2.14878,1.60399,0.32971,0.31653,0.25521,0.14184,1.51729,2.34186,1.84654,0.00984449,0.00984449,0.00984449
6,552.933,1.34556,2.02553,1.5568,0.39807,0.36387,0.32969,0.19522,1.43631,2.19368,1.66994,0.00975773,0.00975773,0.00975773
7,643.462,1.30435,1.92794,1.53003,0.47684,0.41957,0.41404,0.25164,1.32367,1.79463,1.6034,0.00965239,0.00965239,0.00965239
8,732.951,1.27656,1.85838,1.50652,0.49254,0.42567,0.4286,0.2765,1.26637,1.87551,1.57145,0.00952889,0.00952889,0.00952889
9,823.042,1.25603,1.79146,1.48652,0.49113,0.43715,0.43807,0.27434,1.24499,1.83468,1.51568,0.00938772,0.00938772,0.00938772
10,912.893,1.23234,1.74239,1.46732,0.55345,0.44759,0.47985,0.31138,1.23332,1.65413,1.51414,0.00922942,0.00922942,0.00922942
11,1002.72,1.21528,1.69946,1.45911,0.57525,0.44764,0.50228,0.33395,1.22758,1.66888,1.50663,0.00905463,0.00905463,0.00905463
12,1092.46,1.19744,1.64466,1.43535,0.56916,0.45782,0.47677,0.3176,1.23037,1.74795,1.51998,0.00886404,0.00886404,0.00886404
13,1181.88,1.18091,1.62091,1.42534,0.54068,0.45896,0.47628,0.31547,1.20177,1.76193,1.48008,0.00865839,0.00865839,0.00865839
14,1271.04,1.15738,1.56893,1.40935,0.63579,0.49663,0.54959,0.37742,1.13505,1.49653,1.40317,0.00843851,0.00843851,0.00843851
15,1360.48,1.15022,1.53055,1.40268,0.63027,0.50773,0.56026,0.38122,1.13234,1.53467,1.39703,0.00820525,0.00820525,0.00820525
16,1450.43,1.12832,1.49771,1.38702,0.62086,0.5304,0.57386,0.39462,1.07366,1.5569,1.35588,0.00795954,0.00795954,0.00795954
17,1539.96,1.12866,1.46797,1.38118,0.64833,0.53654,0.59718,0.41791,1.03253,1.31328,1.32393,0.00770234,0.00770234,0.00770234
18,1629.43,1.10512,1.4381,1.36843,0.68832,0.5566,0.62322,0.4383,1.05326,1.34046,1.33774,0.00743468,0.00743468,0.00743468
19,1719.01,1.09356,1.4138,1.35479,0.66183,0.56821,0.62389,0.4364,1.0367,1.2545,1.31463,0.00715761,0.00715761,0.00715761
20,1807.97,1.07666,1.37332,1.34482,0.67336,0.56053,0.62676,0.44647,1.03696,1.29633,1.33114,0.00687222,0.00687222,0.00687222
21,1897.88,1.07014,1.34828,1.3369,0.69064,0.55923,0.62891,0.44827,1.03319,1.26155,1.31182,0.00657963,0.00657963,0.00657963
22,1987.59,1.05179,1.32592,1.32729,0.73109,0.57979,0.65963,0.47692,0.99994,1.29929,1.28357,0.00628101,0.00628101,0.00628101
23,2077.26,1.0417,1.29713,1.31846,0.74834,0.58429,0.67105,0.4902,0.97811,1.20384,1.26249,0.00597754,0.00597754,0.00597754
24,2166.76,1.03873,1.28041,1.31488,0.73772,0.58894,0.67227,0.48888,0.97298,1.18089,1.26321,0.0056704,0.0056704,0.0056704
25,2255.59,1.0231,1.25064,1.30629,0.72529,0.60224,0.67596,0.49358,0.96893,1.13081,1.25106,0.00536081,0.00536081,0.00536081
26,2345.32,1.01966,1.22698,1.29805,0.74202,0.60868,0.68163,0.50224,0.9469,1.08965,1.2365,0.00505,0.00505,0.00505
27,2434.91,1.01425,1.21627,1.29349,0.74669,0.61616,0.69183,0.51066,0.94987,1.05994,1.23641,0.00473919,0.00473919,0.00473919
28,2524.37,1.00095,1.18581,1.28301,0.73754,0.633,0.69929,0.51638,0.93251,1.10127,1.22089,0.0044296,0.0044296,0.0044296
29,2613.75,0.98658,1.16058,1.27054,0.74094,0.63575,0.7019,0.52011,0.93113,1.05468,1.21924,0.00412246,0.00412246,0.00412246
30,2703.13,0.97527,1.13784,1.26509,0.77936,0.61485,0.70873,0.52605,0.92589,1.0152,1.21938,0.00381899,0.00381899,0.00381899
31,2792.38,0.96819,1.11558,1.25753,0.73889,0.63902,0.71041,0.52587,0.9467,1.04061,1.22914,0.00352037,0.00352037,0.00352037
32,2882.16,0.96216,1.10711,1.25637,0.76879,0.63246,0.71388,0.53255,0.94689,1.02794,1.23171,0.00322778,0.00322778,0.00322778
33,2972.42,0.95217,1.08539,1.24549,0.77885,0.63799,0.72073,0.53845,0.91358,0.97033,1.20312,0.00294239,0.00294239,0.00294239
34,3062.6,0.95141,1.0768,1.24527,0.75546,0.64901,0.72133,0.54336,0.89572,1.00414,1.18878,0.00266532,0.00266532,0.00266532
35,3152.58,0.93632,1.05085,1.23525,0.79216,0.64502,0.7277,0.54698,0.90217,0.98228,1.19217,0.00239766,0.00239766,0.00239766
36,3242.5,0.92499,1.03186,1.22863,0.78711,0.64811,0.72985,0.55006,0.89403,0.95886,1.18508,0.00214046,0.00214046,0.00214046
37,3332.56,0.92429,1.01742,1.222,0.79254,0.6564,0.73722,0.5553,0.89404,0.9426,1.18408,0.00189475,0.00189475,0.00189475
38,3422.31,0.91104,1.00147,1.21796,0.77665,0.65946,0.73696,0.55709,0.88887,0.919,1.17985,0.00166149,0.00166149,0.00166149
39,3511.96,0.90936,0.99083,1.21351,0.78286,0.6577,0.74054,0.56106,0.89376,0.92842,1.1843,0.00144161,0.00144161,0.00144161
40,3601.54,0.8967,0.97846,1.20943,0.79985,0.65075,0.73916,0.55847,0.88444,0.93051,1.17775,0.00123596,0.00123596,0.00123596
41,3690.91,0.88924,0.83508,1.19323,0.78588,0.65153,0.73507,0.55731,0.88991,0.93372,1.1815,0.00104537,0.00104537,0.00104537
42,3776.84,0.86422,0.79465,1.17814,0.79659,0.66137,0.73851,0.55946,0.88991,0.94243,1.18288,0.000870577,0.000870577,0.000870577
43,3862.58,0.85628,0.77435,1.17448,0.79591,0.65996,0.74044,0.56221,0.88609,0.92971,1.18231,0.000712282,0.000712282,0.000712282
44,3948.63,0.85298,0.76856,1.17213,0.80987,0.64797,0.73963,0.5623,0.88323,0.92712,1.18016,0.000571106,0.000571106,0.000571106
45,4034.18,0.8469,0.75719,1.1665,0.80239,0.64929,0.73827,0.5633,0.8843,0.94429,1.18071,0.000447606,0.000447606,0.000447606
46,4120.29,0.83804,0.74736,1.15888,0.8013,0.65222,0.73704,0.56063,0.88437,0.92542,1.18371,0.00034227,0.00034227,0.00034227
47,4206.04,0.83482,0.73602,1.15711,0.81009,0.64943,0.7383,0.56251,0.88386,0.92277,1.18369,0.000255513,0.000255513,0.000255513
48,4291.7,0.83201,0.73474,1.1523,0.80469,0.65068,0.73797,0.56178,0.88355,0.92073,1.18345,0.000187678,0.000187678,0.000187678
49,4377.35,0.82964,0.73052,1.15043,0.80339,0.65054,0.73916,0.5622,0.88171,0.92619,1.18156,0.000139032,0.000139032,0.000139032
50,4462.89,0.82632,0.72276,1.15133,0.81273,0.64892,0.73935,0.56369,0.88092,0.92309,1.18137,0.000109768,0.000109768,0.000109768
