epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.162,0.98199,1.52698,1.24953,0.56997,0.23874,0.26098,0.16338,1.39847,2.88963,1.66791,0.0801826,9.95851e-05,9.95851e-05
2,342.448,0.99845,1.21608,1.26285,0.62582,0.40459,0.45704,0.29718,1.22224,1.94895,1.50806,0.0602824,0.00019939,0.00019939
3,491.117,1.05745,1.31819,1.30744,0.54599,0.45842,0.47402,0.29953,1.23152,1.7309,1.51947,0.0403814,0.000298416,0.000298416
4,690.426,1.08963,1.3823,1.33624,0.50366,0.37793,0.39271,0.24153,1.27642,2.10161,1.51401,0.0204791,0.000396082,0.000396082
5,779.542,1.11258,1.41346,1.35267,0.61971,0.47578,0.51644,0.34298,1.14885,1.5574,1.41698,0.000574803,0.000491816,0.000491816
6,889.265,1.10406,1.39118,1.34542,0.55032,0.40758,0.4378,0.2813,1.24745,1.75263,1.54626,0.000487886,0.000487886,0.000487886
7,978.572,1.07562,1.33049,1.32678,0.68445,0.4964,0.57312,0.39109,1.12936,1.43136,1.39934,0.00048262,0.00048262,0.00048262
8,1068.52,1.05585,1.27672,1.31264,0.69787,0.56221,0.64131,0.44874,1.0723,1.25792,1.36065,0.000476445,0.000476445,0.000476445
9,1158.37,1.04055,1.23947,1.29686,0.69324,0.57647,0.64248,0.45868,1.03235,1.18601,1.29047,0.000469386,0.000469386,0.000469386
10,1248.13,1.02285,1.19897,1.28484,0.70814,0.57455,0.65933,0.47611,0.98536,1.19383,1.25233,0.000461471,0.000461471,0.000461471
11,1337.41,1.00618,1.16288,1.27603,0.69559,0.60169,0.66096,0.47815,1.00534,1.2377,1.27021,0.000452732,0.000452732,0.000452732
12,1426.75,0.98702,1.12152,1.25456,0.74656,0.59285,0.67721,0.48934,0.98205,1.31404,1.25358,0.000443202,0.000443202,0.000443202
13,1515.93,0.97454,1.09553,1.2505,0.7542,0.61398,0.69425,0.51372,0.94278,1.0176,1.22012,0.00043292,0.00043292,0.00043292
14,1605.36,0.95931,1.064,1.23991,0.76272,0.61961,0.71415,0.52473,0.95293,1.00878,1.21371,0.000421925,0.000421925,0.000421925
15,1694.48,0.95461,1.04202,1.23464,0.76911,0.61453,0.70194,0.52106,0.94043,0.99488,1.22133,0.000410262,0.000410262,0.000410262
16,1783.51,0.94464,1.02532,1.229,0.74207,0.64366,0.71866,0.53815,0.91781,0.95332,1.19361,0.000397977,0.000397977,0.000397977
17,1873.11,0.93905,1.00129,1.22068,0.79142,0.62465,0.729,0.53962,0.91738,0.97786,1.19568,0.000385117,0.000385117,0.000385117
