epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.199,1.24004,1.99819,1.44806,0.18981,0.09624,0.04731,0.02153,2.08308,4.39031,2.756,0.0810788,0.000995851,0.000995851
2,319.328,1.45973,2.29898,1.65152,0.19732,0.10782,0.03547,0.01589,1.998,4.36459,2.53803,0.0620769,0.0019939,0.0019939
3,465.912,1.44937,2.24808,1.63669,0.28682,0.18637,0.11606,0.05637,1.79758,3.40236,2.10745,0.0430671,0.00298416,0.00298416
4,556.86,1.39804,2.13257,1.60241,0.30272,0.21476,0.13099,0.06249,1.87123,4.00201,2.21264,0.0240438,0.00396082,0.00396082
5,646.334,1.37376,2.05323,1.57436,0.39308,0.30654,0.25955,0.14397,1.52069,2.4076,1.75724,0.00500115,0.00491816,0.00491816
6,735.741,1.32369,1.93249,1.53561,0.50475,0.39506,0.40798,0.25962,1.28407,1.98649,1.54217,0.00487886,0.00487886,0.00487886
7,825.287,1.275,1.81922,1.50067,0.55009,0.40908,0.44612,0.28512,1.24457,1.83646,1.53024,0.0048262,0.0048262,0.0048262
8,914.755,1.24387,1.75292,1.47554,0.49962,0.38641,0.39903,0.25265,1.34022,2.19208,1.59385,0.00476445,0.00476445,0.00476445
9,1003.85,1.2151,1.67036,1.4505,0.59293,0.43959,0.48481,0.32058,1.2246,1.8373,1.50026,0.00469386,0.00469386,0.00469386
10,1092.9,1.19133,1.6236,1.42934,0.57649,0.48696,0.51959,0.34464,1.18322,1.50178,1.45051,0.00461471,0.00461471,0.00461471
11,1182.07,1.17415,1.57124,1.41916,0.6283,0.50714,0.56254,0.38156,1.1313,1.54808,1.39201,0.00452732,0.00452732,0.00452732
12,1271.33,1.14874,1.50678,1.39043,0.62613,0.54904,0.59657,0.40847,1.09395,1.39912,1.36665,0.00443202,0.00443202,0.00443202
13,1360.76,1.13255,1.48903,1.3831,0.61177,0.52023,0.54671,0.36283,1.1647,1.56622,1.44633,0.0043292,0.0043292,0.0043292
14,1449.76,1.11499,1.44474,1.3706,0.67461,0.53323,0.60099,0.41883,1.06944,1.28351,1.34509,0.00421925,0.00421925,0.00421925
15,1539.27,1.10565,1.40554,1.35933,0.70528,0.55197,0.62447,0.43662,1.03627,1.22115,1.31152,0.00410262,0.00410262,0.00410262
16,1627.99,1.08409,1.37072,1.34912,0.70736,0.55232,0.63043,0.44661,1.02898,1.34288,1.30865,0.00397977,0.00397977,0.00397977
17,1717.44,1.0796,1.34745,1.33977,0.69601,0.57908,0.63626,0.4561,1.00569,1.19762,1.29272,0.00385117,0.00385117,0.00385117
18,1806.94,1.06118,1.31643,1.33052,0.69761,0.5916,0.64771,0.46313,0.99328,1.17484,1.28486,0.00371734,0.00371734,0.00371734
19,1896.4,1.05418,1.29191,1.31745,0.71614,0.57121,0.6436,0.46168,1.02942,1.32991,1.30169,0.0035788,0.0035788,0.0035788
20,1985.36,1.03298,1.25108,1.3048,0.72833,0.60727,0.6735,0.49652,1.0001,1.09374,1.28386,0.00343611,0.00343611,0.00343611
21,2074.69,1.03235,1.23952,1.30237,0.74929,0.58684,0.668,0.49019,0.96986,1.05537,1.24918,0.00328982,0.00328982,0.00328982
